Source,Target,Weight
doc_220,topic_2,0.7455039024353027
doc_221,topic_3,0.737661600112915
doc_222,topic_3,0.6834386587142944
doc_223,topic_1,0.8613285422325134
doc_224,topic_2,0.878764271736145
doc_225,topic_0,0.6062150001525879
doc_226,topic_3,0.9991849660873413
doc_227,topic_0,0.6675751805305481
doc_228,topic_0,0.4516286253929138
doc_229,topic_0,0.5892959833145142
doc_230,topic_2,0.9574325680732727
doc_231,topic_3,0.5950648784637451
doc_232,topic_2,0.6580023169517517
doc_233,topic_1,0.8599624633789062
doc_234,topic_3,0.9840481281280518
doc_235,topic_0,0.5918914675712585
doc_236,topic_0,0.5575236082077026
doc_237,topic_0,0.6364100575447083
doc_238,topic_3,0.860675036907196
doc_239,topic_2,0.7524159550666809
doc_240,topic_3,0.9213030934333801
doc_241,topic_3,0.5845470428466797
doc_242,topic_0,0.8931547999382019
doc_243,topic_0,0.9214924573898315
doc_244,topic_0,0.5699526071548462
doc_245,topic_0,0.5537287592887878
doc_246,topic_3,0.7130809426307678
doc_247,topic_0,0.9466615319252014
doc_248,topic_0,0.9987662434577942
doc_249,topic_3,0.4371645152568817
doc_250,topic_0,0.9987662434577942
doc_251,topic_2,0.6625088453292847
doc_252,topic_2,0.421026349067688
doc_253,topic_0,0.3617391884326935
doc_254,topic_0,0.751644492149353
doc_255,topic_1,0.9133214354515076
doc_256,topic_3,0.6033113598823547
doc_257,topic_0,0.9623110890388489
doc_258,topic_0,0.9712655544281006
doc_259,topic_3,0.483250230550766
doc_260,topic_3,0.4569782316684723
doc_261,topic_0,0.9956276416778564
doc_262,topic_0,0.9585177302360535
doc_263,topic_0,0.7258429527282715
doc_264,topic_0,0.8089876174926758
doc_265,topic_0,0.5749269127845764
doc_266,topic_2,0.9990729093551636
doc_267,topic_0,0.8424503207206726
doc_268,topic_0,0.8962640762329102
doc_269,topic_3,0.9986769556999207
doc_270,topic_0,0.9886893630027771
doc_271,topic_3,0.9600919485092163
doc_272,topic_3,0.794758677482605
doc_273,topic_2,0.7823004126548767
doc_274,topic_3,0.9712487459182739
doc_275,topic_3,0.8058546185493469
doc_276,topic_0,0.9764284491539001
doc_277,topic_0,0.7123987078666687
doc_278,topic_0,0.9982814192771912
